======================================================================
IPTV 酒店源流量测试报告 (2026-03-28 07:21:32)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
61.185.200.103:9901       | 山东卫视                 | 0.31   Mbps | 100%
61.185.200.6:9902         | 四川卫视                 | 0.22   Mbps | 100%
61.185.200.6:9902         | CCTV8-电视剧            | 0.24   Mbps | 100%
61.185.200.6:9902         | 湖北卫视                 | 0.27   Mbps | 100%
shlt.sohu.blog:9901       | 河北卫视                 | 1.35   Mbps | 100%
shlt.sohu.blog:9901       | 湖北卫视                 | 1.42   Mbps | 100%
shlt.sohu.blog:9901       | CCTV6-电影             | 1.06   Mbps | 100%
shuangyashan.coccc.online:65000 | CCTV-11              | 0.65   Mbps | 100%
shuangyashan.coccc.online:65000 | 陕西卫视                 | 0.78   Mbps | 100%
shuangyashan.coccc.online:65000 | CCTV-音乐              | 0.78   Mbps | 100%

综合评估 (Summary):
1.197.252.107:9901        | 存活:3 | 均值:0.97Mbps | 峰值:1.67Mbps
1.198.30.111:9901         | 存活:3 | 均值:6.52Mbps | 峰值:9.52Mbps
101.18.30.205:808         | 存活:3 | 均值:0.67Mbps | 峰值:1.02Mbps
106.115.25.184:9901       | 存活:2 | 均值:0.26Mbps | 峰值:0.44Mbps
106.115.27.168:9901       | 存活:2 | 均值:3.19Mbps | 峰值:8.28Mbps
106.115.27.148:9901       | 存活:3 | 均值:3.38Mbps | 峰值:8.82Mbps
110.53.218.182:9002       | 存活:3 | 均值:0.06Mbps | 峰值:0.16Mbps
106.115.27.249:9901       | 存活:3 | 均值:0.28Mbps | 峰值:1.01Mbps
112.123.243.37:50085      | 存活:3 | 均值:3.17Mbps | 峰值:11.32Mbps
112.132.10.54:9901        | 存活:3 | 均值:3.45Mbps | 峰值:5.43Mbps
111.221.137.234:44330     | 存活:3 | 均值:0.65Mbps | 峰值:0.97Mbps
112.27.145.212:9902       | 存活:3 | 均值:6.56Mbps | 峰值:11.92Mbps
112.30.73.119:9901        | 存活:3 | 均值:2.05Mbps | 峰值:3.2Mbps
112.99.195.122:65000      | 存活:3 | 均值:1.65Mbps | 峰值:3.66Mbps
113.141.220.55:9901       | 存活:3 | 均值:3.95Mbps | 峰值:6.03Mbps
113.15.109.216:59901      | 存活:3 | 均值:2.63Mbps | 峰值:4.13Mbps
113.25.252.226:9901       | 存活:2 | 均值:0.2Mbps | 峰值:0.3Mbps
113.26.202.52:1299        | 存活:3 | 均值:0.38Mbps | 峰值:0.52Mbps
113.57.20.185:1111        | 存活:3 | 均值:0.03Mbps | 峰值:0.04Mbps
115.48.160.116:9901       | 存活:3 | 均值:1.09Mbps | 峰值:2.03Mbps
119.39.9.8:9901           | 存活:3 | 均值:2.57Mbps | 峰值:5.5Mbps
116.77.33.98:44330        | 存活:3 | 均值:0.84Mbps | 峰值:1.46Mbps
120.196.235.42:9901       | 存活:3 | 均值:0.18Mbps | 峰值:0.25Mbps
120.198.95.220:9901       | 存活:3 | 均值:2.49Mbps | 峰值:4.62Mbps
120.202.94.181:9446       | 存活:3 | 均值:1.41Mbps | 峰值:2.04Mbps
120.70.60.179:9901        | 存活:3 | 均值:2.7Mbps | 峰值:5.96Mbps
121.19.134.142:808        | 存活:3 | 均值:0.06Mbps | 峰值:0.08Mbps
121.19.134.146:808        | 存活:3 | 均值:0.27Mbps | 峰值:0.34Mbps
120.27.63.14:30006        | 存活:3 | 均值:0.3Mbps | 峰值:0.54Mbps
121.24.229.189:9901       | 存活:3 | 均值:7.77Mbps | 峰值:10.43Mbps
123.129.70.178:9901       | 存活:3 | 均值:0.72Mbps | 峰值:0.95Mbps
123.13.245.252:9901       | 存活:3 | 均值:7.66Mbps | 峰值:10.23Mbps
123.149.43.194:9901       | 存活:3 | 均值:2.31Mbps | 峰值:4.25Mbps
123.159.126.13:9901       | 存活:3 | 均值:0.56Mbps | 峰值:0.96Mbps
123.160.235.104:9901      | 存活:3 | 均值:0.64Mbps | 峰值:1.26Mbps
124.116.183.146:9901      | 存活:3 | 均值:0.49Mbps | 峰值:0.62Mbps
124.228.160.14:9901       | 存活:3 | 均值:0.27Mbps | 峰值:0.38Mbps
125.42.148.186:9901       | 存活:3 | 均值:1.14Mbps | 峰值:1.41Mbps
125.42.150.102:9901       | 存活:3 | 均值:1.34Mbps | 峰值:1.62Mbps
144.52.161.141:9901       | 存活:3 | 均值:0.24Mbps | 峰值:0.32Mbps
153.0.171.163:9901        | 存活:2 | 均值:1.16Mbps | 峰值:2.77Mbps
